Marital_status,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Lajang,Siang,122.0,127.3,Ya,Tidak,Ya,Laki-Laki,Tidak,20,0,0,0,0.0,0,0,0,0.0,Droupout
Lajang,Siang,160.0,142.5,Ya,Tidak,Tidak,Laki-Laki,Tidak,19,6,6,6,14.0,6,6,6,13.666666666666666,Graduate
Lajang,Siang,122.0,124.8,Ya,Tidak,Tidak,Laki-Laki,Tidak,19,6,0,0,0.0,6,0,0,0.0,Droupout
Lajang,Siang,122.0,119.6,Ya,Tidak,Ya,Perempuan,Tidak,20,6,8,6,13.428571428571429,6,10,5,12.4,Graduate
Menikah,Malam,100.0,141.5,Tidak,Tidak,Ya,Perempuan,Tidak,45,6,9,5,12.333333333333334,6,6,6,13.0,Graduate
Menikah,Malam,133.1,114.8,Tidak,Ya,Ya,Laki-Laki,Tidak,50,5,10,5,11.857142857142858,5,17,5,11.5,Graduate
Lajang,Siang,142.0,128.4,Ya,Tidak,Ya,Perempuan,Ya,18,7,9,7,13.3,8,8,8,14.345,Graduate
Lajang,Siang,119.0,113.1,Ya,Tidak,Tidak,Laki-Laki,Tidak,22,5,5,0,0.0,5,5,0,0.0,Droupout
Lajang,Siang,137.0,129.3,Tidak,Tidak,Ya,Perempuan,Ya,21,6,8,6,13.875,6,7,6,14.142857142857142,Graduate
Lajang,Siang,138.0,123.0,Ya,Ya,Tidak,Perempuan,Tidak,18,6,9,5,11.4,6,14,2,13.5,Droupout
Lajang,Siang,139.0,130.6,Ya,Tidak,Ya,Perempuan,Tidak,18,6,6,6,12.333333333333334,6,7,5,14.2,Graduate
Lajang,Siang,136.0,119.3,Ya,Tidak,Ya,Perempuan,Ya,18,8,8,7,13.214285714285714,8,8,7,13.214285714285714,Graduate
Lajang,Siang,133.0,130.2,Ya,Tidak,Ya,Perempuan,Tidak,19,6,6,0,0.0,6,0,0,0.0,Droupout
Lajang,Siang,110.0,111.8,Ya,Tidak,Ya,Perempuan,Ya,21,6,7,6,10.571428571428571,6,8,5,11.0,Graduate
Lajang,Siang,149.0,137.1,Ya,Tidak,Ya,Perempuan,Ya,18,5,7,4,13.25,5,5,5,12.0,Graduate
Lajang,Siang,127.0,120.7,Ya,Tidak,Ya,Perempuan,Tidak,20,6,6,5,13.2,6,7,0,0.0,Droupout
Lajang,Siang,137.0,137.4,Ya,Tidak,Ya,Perempuan,Tidak,18,6,10,1,12.0,6,14,2,11.0,Enrolled
Lajang,Siang,135.0,127.3,Ya,Tidak,Ya,Perempuan,Tidak,18,7,8,7,13.30625,8,8,8,14.545,Graduate
Lajang,Siang,137.0,136.3,Ya,Tidak,Ya,Perempuan,Tidak,20,5,8,4,12.5,5,8,4,12.25,Graduate
Lajang,Siang,140.0,124.6,Ya,Tidak,Ya,Perempuan,Tidak,18,7,7,6,11.666666666666666,7,8,6,13.5,Enrolled
Lajang,Siang,122.0,120.3,Tidak,Tidak,Ya,Perempuan,Ya,21,0,0,0,0.0,0,0,0,0.0,Graduate
Lajang,Siang,127.0,121.8,Ya,Tidak,Ya,Perempuan,Tidak,20,7,14,7,11.4375,8,9,8,11.425,Enrolled
Lajang,Siang,142.0,125.5,Ya,Tidak,Ya,Perempuan,Tidak,18,8,12,7,12.857142857142858,8,12,7,12.857142857142858,Graduate
Lajang,Siang,125.0,114.9,Ya,Tidak,Ya,Perempuan,Ya,19,6,8,6,13.375,6,7,6,12.285714285714286,Graduate
Lajang,Siang,126.0,123.9,Tidak,Tidak,Ya,Perempuan,Tidak,19,7,8,6,13.296666666666669,8,9,7,14.114285714285714,Graduate
Lajang,Siang,151.0,157.0,Ya,Ya,Ya,Perempuan,Ya,18,6,8,5,11.6,6,12,4,11.0,Enrolled
Lajang,Siang,115.0,116.4,Ya,Tidak,Ya,Perempuan,Tidak,21,6,9,6,11.375,6,9,6,13.285714285714286,Graduate
Lajang,Siang,138.0,131.0,Ya,Tidak,Ya,Perempuan,Tidak,18,5,9,5,12.666666666666666,5,7,4,13.0,Enrolled
Lajang,Siang,135.0,122.1,Ya,Tidak,Ya,Perempuan,Tidak,20,5,6,5,12.0,5,6,5,12.333333333333334,Graduate
Lajang,Siang,127.0,118.8,Ya,Tidak,Ya,Laki-Laki,Tidak,19,7,9,6,12.933333333333332,7,7,6,13.716666666666669,Enrolled
Lajang,Siang,150.0,150.0,Tidak,Tidak,Ya,Laki-Laki,Tidak,21,6,15,5,11.857142857142858,6,17,5,10.571428571428571,Enrolled
Lajang,Siang,125.0,130.0,Ya,Tidak,Ya,Laki-Laki,Tidak,20,6,7,6,12.833333333333334,6,9,4,13.4,Graduate
Lajang,Siang,143.0,138.8,Tidak,Tidak,Tidak,Laki-Laki,Tidak,18,5,9,3,11.333333333333334,5,8,2,13.5,Enrolled
Lajang,Malam,138.0,134.5,Ya,Tidak,Ya,Perempuan,Tidak,19,6,6,6,12.666666666666666,6,8,6,14.375,Graduate
Lajang,Malam,130.0,131.4,Tidak,Tidak,Ya,Laki-Laki,Tidak,34,5,6,5,12.4,5,9,5,13.428571428571429,Graduate
Lajang,Siang,130.0,102.5,Tidak,Ya,Tidak,Laki-Laki,Tidak,37,7,7,0,0.0,7,7,1,10.0,Droupout
Lajang,Siang,133.1,128.8,Ya,Tidak,Ya,Laki-Laki,Tidak,43,5,0,0,0.0,5,0,0,0.0,Droupout
Lajang,Siang,140.0,122.9,Tidak,Tidak,Ya,Perempuan,Tidak,55,5,10,1,10.0,5,8,2,12.0,Droupout
Bercerai,Malam,120.0,113.9,Ya,Tidak,Ya,Perempuan,Tidak,39,5,8,5,11.0,5,5,5,11.6,Graduate
Lajang,Siang,120.0,120.0,Tidak,Ya,Tidak,Perempuan,Tidak,20,6,13,3,11.666666666666666,6,11,3,12.0,Droupout
Lajang,Siang,126.0,121.1,Tidak,Ya,Ya,Perempuan,Tidak,18,6,6,4,12.75,5,5,0,0.0,Droupout
Lajang,Siang,133.0,120.4,Ya,Tidak,Ya,Perempuan,Tidak,22,5,5,5,14.8,5,5,5,15.8,Graduate
Lajang,Siang,103.0,100.6,Ya,Tidak,Ya,Perempuan,Tidak,22,7,9,5,13.928,8,9,7,14.342857142857142,Graduate
